Enter PID (0 for current process): Process PID 17896

Page size: 4096  Min addr: 0x10000  Max addr: 0x7ffffffeffff
Total phys (MB): 65236  Avail phys (MB): 42992
System cache (MB): 43392  Commit limit (MB): 74964

Working Set (MB): 5  Private WS (MB): 11  Pagefile (MB): 11
Base              Size(KB)    State       Prot    Type
0x7ffbb2d61000    4           Committed   RW-     16777216
0x7ffbb2d62000    4           Committed   RWC     16777216
0x7ffbb2d63000    8           Committed   RW-     16777216
0x7ffbb2d65000    40          Committed   R--     16777216
0x7ffbb2d6f000    7492        Free        ---     0
0x7ffbb34c0000    4           Committed   R--     16777216
0x7ffbb34c1000    516         Committed   R-X     16777216
0x7ffbb3542000    212         Committed   R--     16777216
0x7ffbb3577000    8           Committed   RW-     16777216
0x7ffbb3579000    36          Committed   R--     16777216
0x7ffbb3582000    5432        Free        ---     0
0x7ffbb3ad0000    4           Committed   R--     16777216
0x7ffbb3ad1000    1136        Committed   R-X     16777216
0x7ffbb3bed000    292         Committed   R--     16777216
0x7ffbb3c36000    4           Committed   RW-     16777216
0x7ffbb3c37000    8           Committed   RWC     16777216
0x7ffbb3c39000    36          Committed   RW-     16777216
0x7ffbb3c42000    536         Committed   R--     16777216
0x7ffbb3cc8000    18025632    Free        ---     0
